surveycode,varname,qraw
tch-hs,ts_adultresp,ts_adultresp
tch-hs,ts_askexpl,ts_askexpl
tch-hs,ts_askqns,ts_askqns
tch-hs,ts_believe,ts_believe
tch-hs,ts_bevcontrol,ts_bevcontrol
tch-hs,ts_bevwants,ts_bevwants
tch-hs,ts_classbusy,ts_classbusy
tch-hs,ts_connect,ts_connect
tch-hs,ts_correct,ts_correct
tch-hs,ts_discipline,ts_discipline
tch-hs,ts_dowell,ts_dowell
tch-hs,ts_enjoy,ts_enjoy
tch-hs,ts_expbest,ts_expbest
tch-hs,ts_explain,ts_explain
tch-hs,ts_extra,ts_extra
tch-hs,ts_fair,ts_fair
tch-hs,ts_feelcare,ts_feelcare
tch-hs,ts_fulleffort,ts_fulleffort
tch-hs,ts_helpout,ts_helpout
tch-hs,ts_learnlot,ts_learnlot
tch-hs,ts_nogiveup,ts_nogiveup
tch-hs,ts_nomem,ts_nomem
tch-hs,ts_pride,ts_pride
tch-hs,ts_studresp,ts_studresp
tch-hs,ts_teachassign,ts_teachassign
tch-hs,ts_teachundr,ts_teachundr
tch-hs,ts_think,ts_think
tch-hs,ts_trybest,ts_trybest
tch-hs,ts_tryexp,ts_tryexp
tch-hs,ts_under,ts_under
tch-ms,m_ts_adultresp,m_ts_adultresp
tch-ms,m_ts_askexpl,m_ts_askexpl
tch-ms,m_ts_askqns,m_ts_askqns
tch-ms,m_ts_believe,m_ts_believe
tch-ms,m_ts_bevcontrol,m_ts_bevcontrol
tch-ms,m_ts_bevwants,m_ts_bevwants
tch-ms,m_ts_classbusy,m_ts_classbusy
tch-ms,m_ts_connect,m_ts_connect
tch-ms,m_ts_correct,m_ts_correct
tch-ms,m_ts_discipline,m_ts_discipline
tch-ms,m_ts_dowell,m_ts_dowell
tch-ms,m_ts_enjoy,m_ts_enjoy
tch-ms,m_ts_expbest,m_ts_expbest
tch-ms,m_ts_explain,m_ts_explain
tch-ms,m_ts_extra,m_ts_extra
tch-ms,m_ts_fair,m_ts_fair
tch-ms,m_ts_feelcare,m_ts_feelcare
tch-ms,m_ts_fulleffort,m_ts_fulleffort
tch-ms,m_ts_helpout,m_ts_helpout
tch-ms,m_ts_learnlot,m_ts_learnlot
tch-ms,m_ts_nogiveup,m_ts_nogiveup
tch-ms,m_ts_nomem,m_ts_nomem
tch-ms,m_ts_pride,m_ts_pride
tch-ms,m_ts_studresp,m_ts_studresp
tch-ms,m_ts_teachassign,m_ts_teachassign
tch-ms,m_ts_teachundr,m_ts_teachundr
tch-ms,m_ts_think,m_ts_think
tch-ms,m_ts_trybest,m_ts_trybest
tch-ms,m_ts_tryexp,m_ts_tryexp
tch-ms,m_ts_under,m_ts_under
sch-hs,ad_extra,ad_extra_cb
sch-hs,ad_extra,ad_extra
