surveycode,varname,orig_code,recode
sch-hs,ne_dairy,0,0
sch-hs,ne_dairy,1,1
sch-hs,ne_dairy,2,1
sch-hs,ne_dairy,3,1
sch-hs,ne_dairy,4,2
sch-hs,ne_dairy,5,2
sch-hs,ne_soda,0,0
sch-hs,ne_soda,1,1
sch-hs,ne_soda,2,1
sch-hs,ne_soda,3,1
sch-hs,ne_soda,4,2
sch-hs,ne_soda,5,2
sch-hs,ne_junkfd,0,0
sch-hs,ne_junkfd,1,1
sch-hs,ne_junkfd,2,1
sch-hs,ne_junkfd,3,1
sch-hs,ne_junkfd,4,2
sch-hs,ne_junkfd,5,2
sch-hs,ne_veg,0,0
sch-hs,ne_veg,1,1
sch-hs,ne_veg,2,1
sch-hs,ne_veg,3,1
sch-hs,ne_veg,4,2
sch-hs,ne_veg,5,2
sch-hs,ne_tv,0,0
sch-hs,ne_tv,1,1
sch-hs,ne_tv,2,1
sch-hs,ne_tv,3,1
sch-hs,ne_tv,4,2
sch-hs,ne_tv,5,2
sch-hs,ne_video,0,0
sch-hs,ne_video,1,1
sch-hs,ne_video,2,1
sch-hs,ne_video,3,1
sch-hs,ne_video,4,2
sch-hs,ne_video,5,2
sch-hs,ne_computer,0,0
sch-hs,ne_computer,1,1
sch-hs,ne_computer,2,1
sch-hs,ne_computer,3,1
sch-hs,ne_computer,4,2
sch-hs,ne_computer,5,2
sch-hs,da_tobacco,0,0
sch-hs,da_tobacco,1,1
sch-hs,da_tobacco,2,1
sch-hs,da_tobacco,3,2
sch-hs,da_tobacco,4,2
sch-hs,da_tobacco,5,2
sch-hs,da_mari,0,0
sch-hs,da_mari,1,1
sch-hs,da_mari,2,1
sch-hs,da_mari,3,2
sch-hs,da_mari,4,2
sch-hs,da_mari,5,2
sch-hs,da_meds,0,0
sch-hs,da_meds,1,1
sch-hs,da_meds,2,1
sch-hs,da_meds,3,2
sch-hs,da_meds,4,2
sch-hs,da_meds,5,2
sch-hs,da_illegal,0,0
sch-hs,da_illegal,1,1
sch-hs,da_illegal,2,1
sch-hs,da_illegal,3,2
sch-hs,da_illegal,4,2
sch-hs,da_illegal,5,2
sch-hs,da_legal,0,0
sch-hs,da_legal,1,1
sch-hs,da_legal,2,1
sch-hs,da_legal,3,2
sch-hs,da_legal,4,2
sch-hs,da_legal,5,2
