School_Alpha,School_Short,prev_school_short,tm,School_Name,school_code,Network_Short,Network_Name,Alt_Network_Short,Alt_Network_Name,Round,Repeat,New,Size,Short
A&T Middle College-hs,A&T Middle College10S,,0,NC A&T University Early/Middle College High School,,NCNSP10S,North Carolina New Schools,,,10S,FALSE,1,100,A&T Middle College
A.C. Reynolds-hs,A.C. Reynolds13X,,0,A. C. Reynolds High School,ACREY,,RTI International,,,13X,FALSE,1,628,A.C. Reynolds
AHHS-hs,AHHS11S,,0,Arthur Hill High School,,EdWorks11S,EdWorks,,,11S,FALSE,1,1136,AHHS
AHS-hs,AHS10F,,0,American Senior High,,Miami-Dade10F,Miami-Dade County Public Schools,,,10F,TRUE,0,2074,AHS
AHS-hs,AHS11F,AHS10F,0,American Senior High,AMER,Miami-Dade12S,Miami-Dade County Public Schools,,Miami-Dade County Public Schools,11F,TRUE,1,2000,AHS
Aldine HS-hs,Aldine HS12S,,0,Aldine High School ,ALD,Aldine12S,Aldine Public Schools,,,12S,FALSE,1,2198,Aldine HS
Aldine Ninth-hs,Aldine Ninth12S,,0,Aldine Ninth Grade School ,ALDN,Aldine12S,Aldine Public Schools,,,12S,FALSE,1,894,Aldine Ninth
Alta Vista-hs,Alta Vista09F,,0,Alta Vista High School,,Leona-AZ09F,The Leona Group - AZ,,,09F,FALSE,1,481,Alta Vista
Amanda Elzy-hs,Amanda Elzy11F,,0,Amanda Elzy High School,AMANELZ,FMS11F,Foundation for the Mid South,,Foundation for the MidSouth - Leflore County School District,11F,FALSE,1,517,Amanda Elzy
Anson New Tech-hs,Anson New Tech13X,,0,Anson New Tech High School,ANSNT,,RTI International,,,13X,FALSE,1,109,Anson New Tech
ANTHS-hs,ANTHS10F,,0,Anderson New Technology High School,,NewTech10F,New Tech Network,,,10F,FALSE,1,221,ANTHS
ATA-hs,ATA10F,,0,Algiers Technology Academy,,NewTech10F,New Tech Network,,,10F,FALSE,1,334,ATA
ATEMS-hs,ATEMS11F,,0,"Academy of Technology, Engineering, Math & Science",ATEMS,NewTech11F,New Tech Network,,New Tech Network,11F,TRUE,0,261,ATEMS
ATEMS-hs,ATEMS12F,ATEMS11F,0,"Academy of Technology, Engineering, Math, and Science",ATEMS,NewTech12F,New Tech Network,,,12F,TRUE,1,304,ATEMS
ATHS-hs,ATHS09F,,0,Apache Trail High School,,Leona-AZ09F,The Leona Group - AZ,,,09F,FALSE,1,183,ATHS
Avery-hs,Avery13X,,0,Avery County High School STEM Academy,AVERY,,RTI International,,,13X,FALSE,1,109,Avery
Baker-hs,Baker12F,,0,Baker High School,BAKER,Mobile12F,Mobile County Public Schools,,,12F,FALSE,1,2419,Baker
Ball Prep-hs,Ball Prep10S,,0,Ball Preparatory Academy of Science & Technology,,T-STEM10S,STEM,,,10S,FALSE,1,190,Ball Prep
Bassick-hs,Bassick11F,,0,Bassick High School,BASS,CommPACT11F,CommPACT Schools,,CommPACT Schools,11F,FALSE,1,1090,Bassick
BCEC-hs,BCEC08S,,0,Buncombe County Early College High School,,NCNSP08S,North Carolina New Schools,,,08S,TRUE,0,210,BCEC
BCEC-hs,BCEC10S,BCEC08S,0,Buncombe County Early College High School,,NCNSP10S,North Carolina New Schools,,,10S,TRUE,0,237,BCEC
BCEC-hs,BCEC11F,BCEC10S,0,Buncombe County Early College High School,BUNC,NCNSP11F,North Carolina New Schools,,North Carolina New Schools Project,11F,TRUE,0,242,BCEC
BCEC-hs,BCEC13X,BCEC11F,0,Buncombe County Early College High School,BCECHS,,North Carolina New Schools,,,13X,TRUE,1,246,BCEC
BCECHS-hs,BCECHS10S,,0,Brunswick County Early College High School,,NCNSP10S,North Carolina New Schools,,,10S,TRUE,0,255,BCECHS
BCECHS-hs,BCECHS11F,BCECHS11S,0,Brunswick County Early College High School,BRUNS,NCNSP11F,North Carolina New Schools,,North Carolina New Schools Project,11F,TRUE,0,302,BCECHS
BCECHS-hs,BCECHS11S,BCECHS10S,0,Brunswick County Early College High School,,NCNSP11S,North Carolina New Schools,,,11S,TRUE,0,277,BCECHS
BCECHS-hs,BCECHS13X,BCECHS11F,0,Brunswick County Early College High School,BCEC,,RTI International,,,13X,TRUE,1,317,BCECHS
Ben Holt-hs,Ben Holt10F,,0,Benjamin Holt College Preparatory Academy,,Aspire10F,Aspire Public Schools,,,10F,FALSE,1,247,Ben Holt
Berkner STEM Academy-hs,Berkner STEM Academy10S,,0,Richardson Berkner STEM Academy,,T-STEM10S,STEM,,,10S,FALSE,1,327,Berkner STEM Academy
Bertie Early College-hs,Bertie Early College10S,,0,Bertie County Early College High School,,NCNSP10S,North Carolina New Schools,,,10S,TRUE,0,52,Bertie Early College
Bertie Early College-hs,Bertie Early College11S,Bertie Early College10S,0,Bertie County Early College High School,,NCNSP11S,North Carolina New Schools,,,11S,TRUE,1,97,Bertie Early College
Bertie STEM-hs,Bertie STEM10S,,0,Bertie STEM High School,,NCNSP10S,North Carolina New Schools,STEM10S,STEM,10S,TRUE,0,151,Bertie STEM
Bertie STEM-hs,Bertie STEM13X,Bertie STEM10S,0,Bertie STEM High School,BERTIE,,RTI International,,,13X,TRUE,1,173,Bertie STEM
Blount-hs,Blount12F,,0,Blount High School,BLOUNT,Mobile12F,Mobile County Public Schools,,,12F,FALSE,1,1021,Blount
BNTH-hs,BNTH10F,,0,Bogalusa New Tech High School,,NewTech10F,New Tech Network,,,10F,FALSE,1,102,BNTH
Bostrom-hs,Bostrom09F,,0,Bostrom High School,,Phoenix Union09F,Phoenix Union High School District,,,09F,TRUE,0,427,Bostrom
Bostrom-hs,Bostrom10F,Bostrom09F,0,Bostrom High School,,Phoenix Union10F,Phoenix Union High School District,,,10F,TRUE,1,314,Bostrom
BREC-hs,BREC10S,,0,Blue Ridge Virtual Early College High School,,NCNSP10S,North Carolina New Schools,,,10S,TRUE,0,124,BREC
BREC-hs,BREC11S,BREC10S,0,Blue Ridge Virtual Early College High School,,NCNSP11S,North Carolina New Schools,,,11S,TRUE,0,84,BREC
BREC-hs,BREC13X,BREC11S,0,Blue Ridge Early College High School,BREC,,North Carolina New Schools,,,13X,TRUE,1,163,BREC
Bryant-hs,Bryant12F,,0,Bryant High School,BRYANT,Mobile12F,Mobile County Public Schools,,,12F,FALSE,1,1693,Bryant
BTW-hs,BTW10F,,0,Booker T. Washington Sr. High School,,Miami-Dade10F,Miami-Dade County Public Schools,,,10F,TRUE,0,1044,BTW
BTW-hs,BTW11F,BTW10F,0,Booker T. Washington Sr. High School,BWASH,Miami-Dade12S,Miami-Dade County Public Schools,,Miami-Dade County Public Schools,11F,TRUE,0,958,BTW
BTW-hs,BTW12F,BTW11F,0,Booker T. Washington Sr. High School,BTW,Miami-Dade13S,Miami-Dade County Public Schools,,,12F,TRUE,1,946,BTW
Calumet-hs,Calumet11F,,0,Calumet New Tech High School,CALU,NewTech11F,New Tech Network,,New Tech Network,11F,TRUE,0,589,Calumet
Calumet-hs,Calumet12F,Calumet11F,0,Calumet High School,CALUMET,NewTech12F,New Tech Network,,,12F,TRUE,1,593,Calumet
Carver Arts-hs,Carver Arts08S,,0,New Schools of Carver (School of Arts),,APS08S,Atlanta Public Schools,,,08S,FALSE,1,317,Carver Arts
Carver Early College-hs,Carver Early College08S,,0,New Schools of Carver (Early College),,APS08S,Atlanta Public Schools,,,08S,FALSE,1,327,Carver Early College
Carver Health-hs,Carver Health08S,,0,George Washington Carver High School of Health Sciences & Research,,APS08S,Atlanta Public Schools,,,08S,TRUE,0,410,Carver Health
Carver Health-hs,Carver Health10S,Carver Health08S,0,George Washington Carver High School of Health Sciences & Research,,APS10S,Atlanta Public Schools,,,10S,TRUE,0,410,Carver Health
Carver Health-hs,Carver Health11S,Carver Health10S,0,George Washington Carver High School of Health Sciences & Research,,APS11S,Atlanta Public Schools,,,11S,TRUE,0,419,Carver Health
Carver Health-hs,Carver Health12S,Carver Health11S,1,George Washington Carver High School of Health Sciences & Research,GWHEALTH,APS12S,Atlanta Public Schools,,,12S,TRUE,1,380,Carver Health
Carver HS-hs,Carver HS12S,,0,Carver High School ,CARV,Aldine12S,Aldine Public Schools,,,12S,FALSE,1,869,Carver HS
Carver Technology-hs,Carver Technology08S,,0,Carver School of Technology,,APS08S,Atlanta Public Schools,,,08S,TRUE,0,390,Carver Technology
Carver Technology-hs,Carver Technology11S,Carver Technology08S,0,Carver School of Technology,,APS11S,Atlanta Public Schools,,,11S,TRUE,0,322,Carver Technology
Carver Technology-hs,Carver Technology12S,Carver Technology11S,1,George Washington Carver School of Technology,GWTECH,APS12S,Atlanta Public Schools,,,12S,TRUE,1,260,Carver Technology
Casco Bay-hs,Casco Bay12X,,0,Casco Bay High School,Casco,LLN12X,Learning Lab Network,,,12X,FALSE,0,68,Casco Bay
Casco Bay-hs,Casco Bay13X,Casco Bay 12X,0,Casco Bay High School,CAS,,Learning Lab Network (LLN),,,13X,TRUE,1,70,Casco Bay
CBITS-hs,CBITS11S,,0,Castlemont Community of Small Schools,,OUSD11S,Oakland Unified School District,,,11S,FALSE,1,276,CBITS
CCAHS-hs,CCAHS09F,,0,Cesar Chavez Academy High School,,Leona-MI09F,The Leona Group - MI,,,09F,FALSE,1,580,CCAHS
CCECHS-hs,CCECHS10S,,0,Cross Creek Early College High School,,NCNSP10S,North Carolina New Schools,,,10S,TRUE,0,245,CCECHS
CCECHS-hs,CCECHS11F,CCECHS11S,0,Cross Creek Early College High School,CCREEK,NCNSP11F,North Carolina New Schools,,North Carolina New Schools Project,11F,TRUE,1,237,CCECHS
CCECHS-hs,CCECHS11S,CCECHS10S,0,Cross Creek Early College High School,,NCNSP11S,North Carolina New Schools,,,11S,TRUE,0,237,CCECHS
CCTL-hs,CCTL10S,,0,Collaborative College for Technology and Leadership,,NCNSP10S,North Carolina New Schools,,,10S,TRUE,0,213,CCTL
CCTL-hs,CCTL11S,CCTL10S,0,Collaborative College for Technology and Leadership,,NCNSP11S,North Carolina New Schools,,,11S,TRUE,1,230,CCTL
